,FILE NO,DIVISION,METHOD OF TRANSPORT,BUSINESS LINE,SALESMAN CODE,SALESMAN NAME,REPORT DATE,CUSTOMER NAME,PORT OF LOAD NAME,PORT OF DCHG NAME,REVENUE,EXPENSE,PROFIT,TOTAL REVENUE LESS DUTIES,TOTAL BILLED TO ACCOUNT,TOTAL DUTY BILLED,GROSS WEIGHT,TOT CBM,CONTAINER COUNT,CONTAINER TYPE,TOT KGS
4175,1223817-01,10,OI,25.0,36.0,VALERIE KOEN,2017-08-28,WELLPET LLC,LAEM CHABANG,NEW YORK,4555.59,3873.59,682.0,4340.0,4555.59,215.59,19132.0,40.0,1.0,40',19132.5
4177,1223819-01,10,OI,25.0,36.0,VALERIE KOEN,2017-08-28,WELLPET LLC,LAEM CHABANG,NEW YORK,4587.83,3905.83,682.0,4340.0,4587.83,247.83,16886.0,40.0,1.0,40',16885.68
4179,1223821-01,10,OI,25.0,36.0,VALERIE KOEN,2017-08-28,WELLPET LLC,LAEM CHABANG,NEW YORK,4856.6,4286.6,570.0,4675.0,4856.6,181.6,14820.0,40.0,1.0,40',14820.0
4180,1223822-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-18,WELLPET LLC,LAEM CHABANG,NEW YORK,5018.34,4332.94,685.4,4650.0,5018.34,368.34,24793.0,40.0,1.0,40',24793.08
4181,1223823-01,10,OI,25.0,36.0,VALERIE KOEN,2017-08-28,WELLPET LLC,LAEM CHABANG,NEW YORK,4607.46,4052.46,555.0,4340.0,4607.46,267.46,23920.0,401.0,1.0,40',23920.0
4183,1223825-01,10,OI,25.0,36.0,VALERIE KOEN,2017-08-28,WELLPET LLC,LAEM CHABANG,NEW YORK,4530.79,3938.79,592.0,4340.0,4530.79,190.79,17940.0,40.0,1.0,40',17940.0
4185,1223827-01,10,OI,25.0,36.0,VALERIE KOEN,2017-08-28,WELLPET LLC,LAEM CHABANG,NEW YORK,5049.31,4490.91,558.4,4720.0,5049.31,329.31,26910.0,410.0,1.0,40',26910.0
4186,1223828-01,10,OI,25.0,36.0,VALERIE KOEN,2017-08-28,WELLPET LLC,LAEM CHABANG,NEW YORK,4819.72,4171.47,648.25,4553.75,4819.72,265.97,22425.0,40.0,1.0,40',22425.0
4249,1223874-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-03,WELLPET LLC,LAEM CHABANG,NEW YORK,4681.2,4029.2,652.0,4385.0,4681.2,296.2,15285.0,40.0,1.0,40',15285.2
4250,1223875-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-03,WELLPET LLC,LAEM CHABANG,NEW YORK,4632.5,4092.5,540.0,4340.0,4632.5,292.5,19839.0,40.0,1.0,40',19838.88
4251,1223876-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-03,WELLPET LLC,LAEM CHABANG,NEW YORK,4859.12,4207.12,652.0,4535.0,4859.12,324.12,22624.0,40.0,1.0,40',22623.8
4252,1223877-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-03,WELLPET LLC,LAEM CHABANG,NEW YORK,4961.4,4279.4,682.0,4750.0,4961.4,211.4,13532.0,40.0,1.0,40',13531.5
4254,1223879-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-03,WELLPET LLC,LAEM CHABANG,NEW YORK,4794.19,4274.19,520.0,4540.0,4794.19,254.19,20964.0,40.0,1.0,40',20963.89
4255,1223880-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-03,WELLPET LLC,LAEM CHABANG,NEW YORK,4630.28,4075.28,555.0,4340.0,4630.28,290.28,19839.0,40.0,1.0,40',19838.88
4256,1223881-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-03,WELLPET LLC,LAEM CHABANG,NEW YORK,4836.63,4196.17,640.46,4563.75,4836.63,272.88,13618.0,40.0,1.0,40',13618.8
4257,1223882-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-03,WELLPET LLC,LAEM CHABANG,NEW YORK,4626.1,3944.1,682.0,4430.0,4626.1,196.1,10088.0,40.0,1.0,40',10088.0
4314,1223934-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-11,WELLPET LLC,LAEM CHABANG,NEW YORK,4553.91,3947.49,606.42,4385.0,4553.91,168.91,13224.0,40.0,1.0,40',13224.0
4315,1223935-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-11,WELLPET LLC,LAEM CHABANG,NEW YORK,4777.95,4130.95,647.0,4600.0,4777.95,177.95,12452.0,40.0,1.0,40',12452.4
4317,1223937-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-11,WELLPET LLC,LAEM CHABANG,NEW YORK,4565.83,4025.83,540.0,4340.0,4565.83,225.83,19546.0,40.0,1.0,40',19546.18
4318,1223938-01,10,OI,25.0,36.0,VALERIE KOEN,2017-09-11,WELLPET LLC,LAEM CHABANG,NEW YORK,4581.93,4041.93,540.0,4385.0,4581.93,196.93,12304.0,40.0,1.0,40',12304.0
