FILE_NO,REPORT_DATE,Month,Year,DATE_OPENED,DIVISION,BUSINESS_LINE,METHOD_OF_TRANSPORT,CUSTOMER_NAME,CUSTOMER_CITY,SHIPPER_NAME,CONSIGNEE_NAME,GROSS_WEIGHT,REVENUE,EXPENSE,PROFIT,DUTY_BILLED,TOTAL_BILLED_TO_ACCOUNT,Rev._Less_Duties
1114897-01,2019-11-02,Nov,2019,9/25/2019,10,15,OE,SENATOR INTERNATIONAL SPEDITION GMB,HAMBURG,WEB INDUSTRIES INC.,WEB INDUSTRIES STADE GMBH,"13,794",2279.9,1177.36,1102.54,,2279.9,2279.9
1114909-01,2019-11-09,Nov,2019,9/30/2019,10,15,OE,SENATOR INTERNATIONAL SPEDITION GMB,HAMBURG,WEB INDUSTRIES INC.,WEB INDUSTRIES STADE GMBH,"10,485",2279.9,1177.36,1102.54,,2279.9,2279.9
1114914-01,2019-12-08,Dec,2019,10/3/2019,10,15,OE,3S FABRICATIONS (PVT) LTD,DANKOTUWA,GROUP FOUR TRANSDUCERS,3S FABRICATIONS (PVT) LTD,"6,155",4930.32,3824.38,1105.94,,4930.32,4930.32
1114916-01,2019-11-11,Nov,2019,10/4/2019,10,15,OE,SHEANDRO LLC,SARASOTA,SHEANDRO LLC,SIMO S.R.L.,"1,424",2305.14,2004.5,300.64,,2305.14,2305.14
1114922-01,2019-11-11,Nov,2019,10/11/2019,10,15,OE,ALISPED JAPAN LTD.,CHIYODA-KU,POLYMERIC SYSTEM INC,ITW PP&F JAPAN C/O NIHONGOSEIKAKO,724,816.85,484.34,332.51,,816.85,816.85
1114927-01,2019-11-08,Nov,2019,10/14/2019,10,15,OE,NEW ENGLAND BIOLABS INC,IPSWICH,NEW ENGLAND BIOLABS INC,"NEW ENGLAND BIOLABS, LTD. UK","1,161",3855.25,2381.42,1473.83,,3880.25,3855.25
1114928-01,2019-11-23,Nov,2019,10/14/2019,10,15,OE,SENATOR INTERNATIONAL SPEDITION GMB,HAMBURG,WEB INDUSTRIES INC.,WEB INDUSTRIES STADE GMBH,"14,272",2279.9,1177.36,1102.54,,2279.9,2279.9
1114929-01,2019-11-02,Nov,2019,10/15/2019,10,15,OE,DART GLOBAL LOGISTICS PVT LTD,COLOMBO 15,FLINTEC INC,STRAINTEC (PVT) LTD,145,580.37,245.15,335.22,,580.37,580.37
1114930-01,2019-11-02,Nov,2019,10/15/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,EFI BV C/O RAPID LOGISTICS,"4,878",3879.9,2726.8,1153.1,,3904.9,3879.9
1114931-01,2019-11-02,Nov,2019,10/15/2019,10,15,OE,INKCUPS NOW CORPORATION,DANVERS,INKCUPS NOW CORPORATION,KERRY HUNG KAI WAREHOUSE,408,1687.73,1094.41,593.32,,1712.73,1687.73
1114932-01,2019-11-09,Nov,2019,10/16/2019,10,15,OE,INKCUPS NOW CORPORATION,DANVERS,INKCUPS NOW CORPORATION,TRA-SAS,828,872.6,529.49,343.11,,887.6,872.6
1114933-01,2019-11-11,Nov,2019,10/16/2019,10,15,OE,"POWER SERVICE PRODUCTS, INC",WEATHERFORD,"POWER SERVICE PRODUCTS, INC",NEWTOIL S.A.,850,1069.93,596.03,473.9,,1069.93,1069.93
1114935-01,2019-11-05,Nov,2019,10/17/2019,10,15,OE,NEWCASTLE SYSTEMS,HAVERHILL,NEWCASTLE SYSTEMS,ANDREAS LAUBNER GMBH,"6,433",7318.35,4467.33,2851.02,,7318.35,7318.35
1114937-01,2019-11-02,Nov,2019,10/18/2019,10,15,OE,DART GLOBAL LOGISTICS PVT LTD,COLOMBO 15,FLINTEC INC,FLINTEC TRANSDUCERS (PVT) LTD.,433,522.29,361.8,160.49,,-18.9,522.29
1114937-02,2019-11-02,Nov,2019,10/18/2019,10,15,OE,DART GLOBAL LOGISTICS PVT LTD,COLOMBO 15,FLINTEC INC,STRAINTEC (PVT) LTD,237,471.49,166.94,304.55,,471.49,471.49
1114938-01,2019-11-02,Nov,2019,10/18/2019,10,15,OE,FLEXCON ASIA LIMTED,HONG KONG,FLEXCON,FLEXCON ASIA LIMTED,"9,201",2398.5,1381.6,1016.9,,2423.5,2398.5
1114943-01,2019-11-09,Nov,2019,10/22/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,"EFI CRETAPRINT, A101, 102, A107 OF","2,070",1616.49,1378.95,237.54,,1616.49,1616.49
1114944-01,2019-11-02,Nov,2019,10/22/2019,10,15,OE,GEM GRAVURE CO INC,HANOVER,GEM GRAVURE CO INC,KOENIG & BAUER CODING GMBH,447,682.13,333.62,348.51,,682.13,682.13
1114945-01,2019-11-05,Nov,2019,10/24/2019,10,15,OE,BREWSTER WALLPAPER CORP,RANDOLPH,BREWSTER WALLPAPER CORP,FINE DECOR WALLCOVERINGS LTD,"9,715",2505,1963.53,541.47,,2530,2505
1114946-01,2019-11-07,Nov,2019,10/24/2019,10,15,OE,COLD CHAIN TECHNOLOGIES,FRANKLIN,COLD CHAIN TECHNOLOGIES,ARES TRADING URUGUAY S.A.,"4,772",2505,2109.14,395.86,,2505,2505
1114947-01,2019-11-05,Nov,2019,10/24/2019,10,15,OE,FLEXCON GLENROTHES FINISHING,GLENROTHES FIFE,FLEXCON,FLEXCON GLENROTHES FINISHING,"11,406",4355.5,3476.49,879.01,,4455.5,4355.5
1114948-01,2019-11-06,Nov,2019,10/24/2019,10,15,OE,FLEXCON GLENROTHES FINISHING,GLENROTHES FIFE,"ARLON GRAPHICS, LLC",FLEXCON GLENROTHES FINISHING,"2,914",4205,3613.42,591.58,,4205,4205
1114949-01,2019-11-09,Nov,2019,10/24/2019,10,15,OE,FLEXCON CONVERTING INC.,SINGAPORE,FLEXCON,FLEXCON CONVERTING INC.,"10,567",2328.5,1324.7,1003.8,,2328.5,2328.5
1114950,2019-11-06,Nov,2019,10/24/2019,10,15,OE,SPERRY FABRIC ARCHITECTURE,ROCHESTER,SPERRY FABRIC ARCHITECTURE,THE ISLAND HOUSE,"1,814",2256.61,4917.07,-2660.46,,,2256.61
1114951-01,2019-11-09,Nov,2019,10/25/2019,10,15,OE,DART GLOBAL LOGISTICS PVT LTD,COLOMBO 15,FLINTEC INC,FLINTEC TRANSDUCERS (PVT) LTD.,431,464.38,246.58,217.8,,-40,464.38
1114952-01,2019-11-17,Nov,2019,10/28/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,"EFI CRETAPRINT, A101, 102, A107 OF",686,2457.86,2161.11,296.75,,2457.86,2457.86
1114953-01,2019-11-12,Nov,2019,10/31/2019,10,15,OE,FLEXCON GLENROTHES FINISHING,GLENROTHES FIFE,FLEXCON,FLEXCON GLENROTHES FINISHING,"12,371",3972,3127.76,844.24,,4072,3972
1114954-01,2019-11-24,Nov,2019,11/4/2019,10,15,OE,DART GLOBAL LOGISTICS PVT LTD,COLOMBO 15,FLINTEC INC,FLINTEC TRANSDUCERS (PVT) LTD.,122,360.07,184.46,175.61,,360.07,360.07
1114955-01,2019-11-09,Nov,2019,11/4/2019,10,15,OE,"NEC ENERGY SOLUTIONS, INC",WESTBOROUGH,"NEC ENERGY SOLUTIONS, INC",NEC UK LTD BRENTWOOD UK,"1,042",4505,3765,740,,4505,4505
1114956-01,2019-11-24,Nov,2019,11/5/2019,10,15,OE,FLINTEC INC,HUDSON,FLINTEC INC,FLINTEC TRANSDUCERS (PVT) LTD.,547,905.25,611.47,293.78,,,905.25
1114957-01,2019-11-20,Nov,2019,11/5/2019,10,15,OE,GEM GRAVURE CO INC,HANOVER,GEM GRAVURE CO INC,KOENIG & BAUER CODING GMBH,847,880.33,519.56,360.77,,880.33,880.33
1114958-01,2019-11-23,Nov,2019,11/6/2019,10,15,OE,INKCUPS NOW CORPORATION,DANVERS,INKCUPS NOW CORPORATION,TRA-SAS,"1,060",1090.43,770.11,320.32,,1105.43,1090.43
1114959-01,2019-11-19,Nov,2019,11/6/2019,10,15,OE,"SENATOR INTERNATIONAL, BV",HOLLLAND,HOLLINGSWORTH & VOSE CO,JUKEN ( ZHUHA) CO.LTD,"2,567",2732.5,2080.3,652.2,,2732.5,2732.5
1114961-01,2019-11-25,Nov,2019,11/6/2019,10,15,OE,WELLPET LLC,TEWKSBURY,WELLPET LLC,NATURALLY PET LIMITED,"8,310",4316.2,3748,568.2,,4316.2,4316.2
1114962-01,2019-11-20,Nov,2019,11/6/2019,10,15,OE,FLEXCON GLENROTHES FINISHING,GLENROTHES FIFE,FLEXCON,FLEXCON GLENROTHES FINISHING,"8,388",4355.5,3503.22,852.28,,4455.5,4355.5
1114963-01,2019-11-18,Nov,2019,11/7/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,EFI BV C/O RAPID LOGISTICS,"1,828",3879.9,2828.12,1051.78,,3904.9,3879.9
1114964-01,2019-11-23,Nov,2019,11/7/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,"ELECTRONICS FOR IMAGING, EFI PLANT","3,370",2295,1606.9,688.1,,2295,2295
1114965-01,2019-11-13,Nov,2019,11/8/2019,10,15,OE,COLD CHAIN TECHNOLOGIES,FRANKLIN,COLD CHAIN TECHNOLOGIES,"DRIFAM, SA DE CV C/O LOGISTIC",,225,210,15,,225,225
1114966-01,2019-11-18,Nov,2019,11/8/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,EFI BV C/O RAPID LOGISTICS,"4,761",3879.9,2838.99,1040.91,,3904.9,3879.9
1114967-01,2019-11-24,Nov,2019,11/8/2019,10,15,OE,DART GLOBAL LOGISTICS PVT LTD,COLOMBO 15,FLINTEC INC,FLINTEC TRANSDUCERS (PVT) LTD.,322,669.58,394.85,274.73,,669.58,669.58
1114967-02,2019-11-24,Nov,2019,11/8/2019,10,15,OE,DART GLOBAL LOGISTICS PVT LTD,COLOMBO 15,FLINTEC INC,STRAINTEC (PVT) LTD,16,384.73,89.03,295.7,,384.73,384.73
1114968-01,2019-11-24,Nov,2019,11/11/2019,10,15,OE,COLD CHAIN TECHNOLOGIES,FRANKLIN,COLD CHAIN TECHNOLOGIES,CSL BEHRING PANAMA SA,"1,851",5470,4249.5,1220.5,,5470,5470
1114969-01,2019-11-25,Nov,2019,11/11/2019,10,15,OE,COLD CHAIN TECHNOLOGIES,FRANKLIN,COLD CHAIN TECHNOLOGIES,CSL BEHRING PANAMA SA,"1,851",5470,4247.5,1222.5,,5470,5470
1114970-01,2019-11-30,Nov,2019,11/12/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,GRAFFITI DESIGNS PTY LTD,250,907.46,632.44,275.02,,907.46,907.46
1114971-01,2019-11-27,Nov,2019,11/12/2019,10,15,OE,FLEXCON ASIA LIMTED,HONG KONG,FLEXCON,FLEXCON ASIA LIMTED,"6,905",2313.5,1274.6,1038.9,,2338.5,2313.5
1114972-01,2019-12-21,Dec,2019,11/13/2019,10,15,OE,SENATOR INTERNATIONAL SPEDITION GMB,HAMBURG,WEB INDUSTRIES INC.,WEB INDUSTRIES STADE GMBH,"10,492",2279.9,1177.36,1102.54,,2279.9,2279.9
1114973-01,2019-11-24,Nov,2019,11/13/2019,10,15,OE,BREWSTER WALLPAPER CORP,RANDOLPH,BREWSTER WALLPAPER CORP,FINE DECOR WALLCOVERINGS LTD,"8,109",2505,1959.33,545.67,,2530,2505
1114974-01,2019-11-23,Nov,2019,11/13/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,EFI BV C/O RAPID LOGISTICS,"2,334",3879.9,2834.35,1045.55,,3904.9,3879.9
1114975-01,2019-11-23,Nov,2019,11/13/2019,10,15,OE,CELL SIGNALING TECHNOLOGY,DANVERS,RAM PRINTING INC.,CST EUROPE,753,1121.49,656.22,465.27,,1131.49,1121.49
1114976-01,2019-11-23,Nov,2019,11/14/2019,10,15,OE,FLEXCON GLENROTHES FINISHING,GLENROTHES FIFE,FLEXCON,FLEXCON GLENROTHES FINISHING,"13,339",4355.5,3504.62,850.88,,4455.5,4355.5
1114977-01,2019-11-29,Nov,2019,11/14/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,EFI BV C/O RAPID LOGISTICS,"2,478",2962.32,2142.25,820.07,,2977.32,2962.32
1114979-01,2019-11-30,Nov,2019,11/14/2019,10,15,OE,COLD CHAIN TECHNOLOGIES,FRANKLIN,COLD CHAIN TECHNOLOGIES,"FARMACAM, S.A.","1,825",2615,2165,450,,2615,2615
1114980-01,2019-12-12,Dec,2019,11/15/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,"EFI CRETAPRINT, A101, 102, A107 OF","1,108",1304.24,874.66,429.58,,1304.24,1304.24
1114981-01,2019-12-01,Dec,2019,11/15/2019,10,15,OE,FLINTEC INC,HUDSON,FLINTEC INC,FLINTEC TRANSDUCERS (PVT) LTD.,402,515.64,294.2,221.44,,555.64,515.64
1114982-01,2019-12-15,Dec,2019,11/15/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,"EFI CRETAPRINT, A101, 102, A107 OF",440,2759.4,2069,690.4,,2759.4,2759.4
1114983-01,2020-01-13,Jan,2020,11/18/2019,10,15,OE,SENATOR INTERNATIONAL SPEDITION GMB,HAMBURG,WEB INDUSTRIES INC.,WEB INDUSTRIES STADE GMBH,"9,923",2279.9,1177.36,1102.54,,2279.9,2279.9
1114984,2019-12-03,Dec,2019,11/19/2019,10,15,OE,"TORAY PLASTICS (AMERICA), INC",NORTH KINGSTOWN,"TORAY PLASTICS (AMERICA), INC",ONE CARIBBEAN FLEXIPAC INDUSTRIES A,"8,951",3996,3136.08,859.92,,3996,3996
1114985-01,2019-12-07,Dec,2019,11/20/2019,10,15,OE,INKCUPS NOW CORPORATION,DANVERS,INKCUPS NOW CORPORATION,KERRY HUNG KAI WAREHOUSE,703,1335.27,980.46,354.81,,1360.27,1335.27
1114986-01,2019-12-07,Dec,2019,11/20/2019,10,15,OE,GEM GRAVURE CO INC,HANOVER,GEM GRAVURE CO INC,"ENA INDUSTRY CO,LTD",59,555,248.5,306.5,,555,555
1114987-01,2019-12-10,Dec,2019,11/20/2019,10,15,OE,VIONX ENERGY CORPORATION,WOBURN,VIONX ENERGY CORPORATION,SUZHOU ZONGBAO TONGDA SUPPLY CHAIN,"33,930",2560,1804.48,755.52,,2560,2560
1114988-01,2019-12-03,Dec,2019,11/21/2019,10,15,OE,FLEXCON GLENROTHES FINISHING,GLENROTHES FIFE,FLEXCON,FLEXCON GLENROTHES FINISHING,"8,780",4355.5,3502.58,852.92,,4455.5,4355.5
1114989-01,2019-12-19,Dec,2019,11/21/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,"EFI CRETAPRINT, A101, 102, A107 OF","19,131",3227.49,2356.9,870.59,,3227.49,3227.49
1114990-01,2019-12-21,Dec,2019,11/22/2019,10,15,OE,STREM CHEMICALS INC.,NEWBURYPORT,STREM CHEMICALS INC.,TEXAS A & M UNIVERSITY @ QATAR C/O,51,4845,2960.9,1884.1,,4845,4845
1114991-01,2019-12-15,Dec,2019,11/22/2019,10,15,OE,DART GLOBAL LOGISTICS PVT LTD,COLOMBO 15,FLINTEC INC,FLINTEC TRANSDUCERS (PVT) LTD.,406,512.84,287.63,225.21,,-25.19,512.84
1114991-02,2019-12-14,Dec,2019,11/22/2019,10,15,OE,DART GLOBAL LOGISTICS PVT LTD,COLOMBO 15,FLINTEC INC,STRAINTEC (PVT) LTD,132,386.29,92.72,293.57,,-14.81,386.29
1114992-01,2019-12-07,Dec,2019,11/22/2019,10,15,OE,GEM GRAVURE CO INC,HANOVER,GEM GRAVURE CO INC,KOENIG & BAUER CODING GMBH,95,582.55,223.5,359.05,,582.55,582.55
1114993-01,2019-12-18,Dec,2019,11/22/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,DSV AIR & SEA PTY LTD,"4,179",3899,3100,799,,3899,3899
1114994-01,2019-12-18,Dec,2019,11/25/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,GRAFFITI DESIGNS PTY LTD,397,1087.15,756.67,330.48,,1087.15,1087.15
1114995-01,2019-12-07,Dec,2019,11/25/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,EFI BV C/O RAPID LOGISTICS,"10,920",7709.8,5579.81,2129.99,,7759.8,7709.8
1114996-01,2019-12-12,Dec,2019,11/26/2019,10,15,OE,QUALITAIR & SEA LE HAVRE,LEHAVRE,COVALENCE SPECIALTY ADHESIVES LLC,GUILBERT EXPRESS,423,562.5,235.17,327.33,,362.5,562.5
1114997-01,2019-12-07,Dec,2019,11/26/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,EFI BV C/O RAPID LOGISTICS,"5,625",3879.9,2871.93,1007.97,,3904.9,3879.9
1114998-01,2020-01-02,Jan,2020,11/27/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,BEITH DIGITAL PTY LTD,"3,660",4213.73,3646.01,567.72,,4213.73,4213.73
1114999-01,2019-12-21,Dec,2019,12/2/2019,10,15,OE,FLEXCON GLENROTHES FINISHING,GLENROTHES FIFE,FLEXCON,FLEXCON WEESP FINISHING,"1,148",1112.07,688.49,423.58,,1127.07,1112.07
1115000-01,2019-12-21,Dec,2019,12/3/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,"ELECTRONICS FOR IMAGING, EFI PLANT","3,142",2695,1881.91,813.09,,2695,2695
1115001-01,2019-12-28,Dec,2019,12/3/2019,10,15,OE,COLD CHAIN TECHNOLOGIES,FRANKLIN,COLD CHAIN TECHNOLOGIES,CSL BEHRING PANAMA SA,"4,627",13608,10626.25,2981.75,,13608,13608
1115002-01,2019-12-14,Dec,2019,12/3/2019,10,15,OE,GEM GRAVURE CO INC,HANOVER,GEM GRAVURE CO INC,KOENIG & BAUER CODING GMBH,259,582.55,318.24,264.31,,582.55,582.55
1115003-01,2019-12-27,Dec,2019,12/4/2019,10,15,OE,FLEXCON ASIA LIMTED,HONG KONG,FLEXCON,FLEXCON ASIA LIMTED,"6,251",2313.5,1312.6,1000.9,,2338.5,2313.5
1115004-01,2019-12-18,Dec,2019,12/4/2019,10,15,OE,FLEXCON CONVERTING INC.,SINGAPORE,FLEXCON,FLEXCON CONVERTING INC.,"3,939",2221.5,1312.6,908.9,,2221.5,2221.5
1115005-01,2019-12-21,Dec,2019,12/5/2019,10,15,OE,DART GLOBAL LOGISTICS PVT LTD,COLOMBO 15,FLINTEC INC,STRAINTEC (PVT) LTD,260,607.65,247.34,360.31,,607.65,607.65
1115005-02,2019-12-21,Dec,2019,12/6/2019,10,15,OE,DART GLOBAL LOGISTICS PVT LTD,COLOMBO 15,FLINTEC INC,STRAINTEC (PVT) LTD,290,607.65,116.49,491.16,,607.65,607.65
1115005-03,2019-12-21,Dec,2019,12/6/2019,10,15,OE,DART GLOBAL LOGISTICS PVT LTD,COLOMBO 15,FLINTEC INC,STRAINTEC (PVT) LTD,23,618.68,15.44,603.24,,618.68,618.68
1115005-04,2019-12-21,Dec,2019,12/6/2019,10,15,OE,DART GLOBAL LOGISTICS PVT LTD,COLOMBO 15,FLINTEC INC,STRAINTEC (PVT) LTD,381,607.5,117.88,489.62,,607.5,607.5
1115006-01,2019-12-21,Dec,2019,12/5/2019,10,15,OE,DART GLOBAL LOGISTICS PVT LTD,COLOMBO 15,FLINTEC INC,FLINTEC TRANSDUCERS (PVT) LTD.,310,694.33,334.01,360.32,,694.33,694.33
1115006-02,2019-12-21,Dec,2019,12/6/2019,10,15,OE,DART GLOBAL LOGISTICS PVT LTD,COLOMBO 15,FLINTEC INC,FLINTEC TRANSDUCERS (PVT) LTD.,50,616.54,25.99,590.55,,616.54,616.54
1115006-03,2019-12-21,Dec,2019,12/6/2019,10,15,OE,DART GLOBAL LOGISTICS PVT LTD,COLOMBO 15,FLINTEC INC,FLINTEC TRANSDUCERS (PVT) LTD.,45,618.24,14.44,603.8,,618.24,618.24
1115007-01,2019-12-30,Dec,2019,12/6/2019,10,15,OE,NEW ENGLAND BIOLABS INC,IPSWICH,NEW ENGLAND BIOLABS INC,"NEW ENGLAND BIOLABS, LTD. UK","1,166",3855.25,2580.47,1274.78,,3880.25,3855.25
1115008-01,2019-12-21,Dec,2019,12/6/2019,10,15,OE,FLINTEC INC,HUDSON,FLINTEC INC,FLINTEC TRANSDUCERS (PVT) LTD.,132,360.93,184.2,176.73,,400.93,360.93
1115009-01,2020-02-01,Feb,2020,12/6/2019,10,15,OE,SENATOR INTERNATIONAL SPEDITION GMB,HAMBURG,WEB INDUSTRIES INC.,WEB INDUSTRIES STADE GMBH,"10,032",2279.9,1177.36,1102.54,,2279.9,2279.9
1115010-01,2019-12-21,Dec,2019,12/9/2019,10,15,OE,"LEWA-NIKKISO AMERICA, INC.",HOLLISTON,"LEWA-NIKKISO AMERICA, INC.",BOEHRINGER INGELHEIM GMBH & CO KG,"3,722",6257.15,5028.62,1228.53,,6257.15,6257.15
1115011-01,2019-12-22,Dec,2019,12/9/2019,10,15,OE,ZIPWALL LLC,ARLINGTON,ZIPWALL LLC,TRANS WEALTH LIMITED,833,1499.6,1041.24,458.36,,1524.6,1499.6
1115012-01,2020-01-06,Jan,2020,12/9/2019,10,15,OE,WEB INDUSTRIES INC.,DAYVILLE,WEB INDUSTRIES INC.,COMMSCOPE SOLUTIONS IRELAND,"15,891",3862.5,3145.54,716.96,,3862.5,3862.5
1115013,2019-12-11,Dec,2019,12/10/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,DELTA TRADING AND DEVELOPMENT,"6,105",165,52.72,112.28,,165,165
1115014-01,2020-01-12,Jan,2020,12/10/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,"ELECTRONICS FOR IMAGING, EFI PLANT","1,813",2295,1606.91,688.09,,2295,2295
1115015-01,2019-12-27,Dec,2019,12/10/2019,10,15,OE,COLD CHAIN TECHNOLOGIES,FRANKLIN,COLD CHAIN TECHNOLOGIES,"FARMACAM, S.A.","4,270",3462.04,2816.48,645.56,,3462.04,3462.04
1115016-01,2019-12-21,Dec,2019,12/11/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,AMMA PRINT S.R.L.,"5,194",4474.9,2875.32,1599.58,,4499.9,4474.9
1115017-01,2019-12-30,Dec,2019,12/11/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,"EFI CRETAPRINT, A101, 102, A107 OF",800,2973.17,2225.41,747.76,,2973.17,2973.17
1115018-01,2019-12-27,Dec,2019,12/12/2019,10,15,OE,WEB INDUSTRIES INC.,DAYVILLE,WEB INDUSTRIES INC.,OMEGA SYSTEMS,175,1845.45,1188.39,657.06,,1845.45,1845.45
1115019-01,2019-12-30,Dec,2019,12/12/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,"EFI CRETAPRINT, A101, 102, A107 OF","2,417",1928.26,1385.5,542.76,,1928.26,1928.26
1115020-01,2019-12-30,Dec,2019,12/12/2019,10,15,OE,DART GLOBAL LOGISTICS PVT LTD,COLOMBO 15,FLINTEC INC,FLINTEC TRANSDUCERS (PVT) LTD.,202,388.05,188.74,199.31,,388.05,388.05
1115021-01,2019-12-27,Dec,2019,12/12/2019,10,15,OE,COLD CHAIN TECHNOLOGIES,FRANKLIN,COLD CHAIN TECHNOLOGIES,RUMPEL S.A ZONA AMERICA,"6,194",5749.67,4594.52,1155.15,,5749.67,5749.67
1115022,2019-12-13,Dec,2019,12/12/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,DYNAGRAPH SAUDIA COMPANY LTD.,"4,860",165,52.6,112.4,,165,165
1115023-01,2019-12-30,Dec,2019,12/13/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,EFI BV C/O RAPID LOGISTICS,"2,499",2127.91,1853.01,274.9,,2137.91,2127.91
1115024-01,2020-01-02,Jan,2020,12/13/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,GRAFFITI DESIGNS PTY LTD,440,860.06,782.48,77.58,,860.06,860.06
1115025-01,2020-03-24,Mar,2020,12/13/2019,10,15,OE,3S FABRICATIONS (PVT) LTD,DANKOTUWA,GROUP FOUR TRANSDUCERS,3S FABRICATIONS (PVT) LTD,"2,488",2149.14,1337.96,811.18,,2149.14,2149.14
1115025-02,2020-03-24,Mar,2020,2/25/2020,10,15,OE,3S FABRICATIONS (PVT) LTD,DANKOTUWA,FAIRBANKS SCALES,3S FABRICATIONS (PVT) LTD,"3,099",3712.64,2412.83,1299.81,,3712.64,3712.64
1115026-01,2019-12-21,Dec,2019,12/13/2019,10,15,OE,GEM GRAVURE CO INC,HANOVER,GEM GRAVURE CO INC,KOENIG & BAUER CODING GMBH,109,582.55,225.5,357.05,,582.55,582.55
1115027-01,2019-12-24,Dec,2019,12/13/2019,10,15,OE,BREWSTER WALLPAPER CORP,RANDOLPH,BREWSTER WALLPAPER CORP,FINE DECOR WALLCOVERINGS LTD,"14,038",2605,2157.04,447.96,,2630,2605
1115028-01,2020-01-13,Jan,2020,12/13/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,HOLMBERGS I MALMO AB,"6,500",4946.31,3228.25,1718.06,,4972.9,4946.31
1115028-02,2020-01-13,Jan,2020,1/2/2020,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,AZTEC PRESENTATIONS LTD.,"5,341",4949.02,3245.8,1703.22,,4972.9,4949.02
1115028-03,2020-01-13,Jan,2020,1/2/2020,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,ARS KOPOJA D.O.O.,"4,980",4353.38,3094.66,1258.72,,4377.9,4353.38
1115029-01,2020-01-13,Jan,2020,12/13/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,ECO SIGNS LTD.,"4,899",4350.42,3092.18,1258.24,,4377.9,4350.42
1115029-02,2020-01-13,Jan,2020,1/2/2020,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,CLUB BUREAUTIIQUE,"4,899",4350.42,3136.72,1213.7,,4377.9,4350.42
1115029-03,2020-01-13,Jan,2020,1/2/2020,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,VISIVA MARKETING TOOLS,"4,344",4357.86,2972.33,1385.53,,4377.9,4357.86
