FILE_NO,REPORT_DATE,Month,Year,DATE_OPENED,DIVISION,BUSINESS_LINE,METHOD_OF_TRANSPORT,CUSTOMER_NAME,CUSTOMER_CITY,SHIPPER_NAME,CONSIGNEE_NAME,GROSS_WEIGHT,REVENUE,EXPENSE,PROFIT,DUTY_BILLED,TOTAL_BILLED_TO_ACCOUNT,Rev._Less_Duties
2211061-01,2019-11-27,Nov,2019,11/7/2019,20,25,OI,HUSSEY SEATING COMPANY,NORTH BERWICK,THE FEDERATED INDUSTRIES (NINGBO),HUSSEY SEATING COMPANY,"2,633",2494,2214,280,,2494,2494
2211062-01,2019-11-29,Nov,2019,11/7/2019,20,25,OI,BASKETVILLE INC,PUTNEY,CAOXIAN ZHONGYI WOODEN CO. LTD,BASKETVILLE INC,"7,700",3522,3147,375,9507.91,3522,-5985.91
2211063-01,2019-12-13,Dec,2019,11/7/2019,20,25,OI,EASTLAND SHOE CORP,FREEPORT,GUANG ZHOU CHUANG DE SHOES CO. LTD,EASTLAND SHOE CORP,"6,367",5410,4739,671,25618.21,5410,-20208.21
2211063-02,2019-12-13,Dec,2019,11/7/2019,20,25,OI,EASTLAND SHOE CORP,FREEPORT,DONGGUAN SANYUAN SHOES,EASTLAND SHOE CORP,"6,367",,,,25618.21,,-25618.21
2211064-01,2019-12-04,Dec,2019,11/8/2019,20,25,OI,HUSSEY SEATING COMPANY,NORTH BERWICK,THE FEDERATED INDUSTRIES (NINGBO),HUSSEY SEATING COMPANY,"10,757",5025,4825,200,8427.75,5025,-3402.75
2211065-01,2019-12-18,Dec,2019,11/8/2019,20,25,OI,WALLINGFORDS INC.,NEW HAMPTON,RUDONG CHAIN WORKS,WALLINGFORDS INC.,"16,929",2540,2053.5,486.5,5069.25,2540,-2529.25
2211066-01,2019-12-03,Dec,2019,11/8/2019,20,25,OI,"PHOENIX FOOTWEAR GROUP, INC.",CARLSBAD,M/S PYRAMID EXPORTS,"PHOENIX FOOTWEAR GROUP, INC.",694,1882.46,1533.17,349.29,1491.7,1882.46,390.76
2211067-01,2019-12-08,Dec,2019,11/8/2019,20,25,OI,HUSSEY SEATING COMPANY,NORTH BERWICK,THE FEDERATED INDUSTRIES (NINGBO),HUSSEY SEATING COMPANY,"1,760",3805,3525,280,2424.25,3805,1380.75
2211068-01,2019-12-17,Dec,2019,11/8/2019,20,25,OI,K2 SPORTS LLC,SEATTLE,CALZATURIFICIO DAL BELLO S.R.L.,K2 SPORTS LLC,,1453.43,1128.43,325,,1453.43,1453.43
2211069-01,2019-12-15,Dec,2019,11/8/2019,20,25,OI,"SML (USA), INC.",LEWISTON,"JINJIANG XINGLILAI YARNS CO., LTD","SML (USA), INC.","2,004",1712.72,1299.35,413.37,2655.91,1712.72,-943.19
2211070-01,2019-12-17,Dec,2019,11/8/2019,20,25,OI,K2 SPORTS LLC,SEATTLE,POMOCA SA,K2 SPORTS LLC,,1643.59,1261.59,382,,1643.59,1643.59
2211071-01,2019-12-01,Dec,2019,11/11/2019,20,25,OI,ELAN USA CORPORATION,LEBANON,ELAN D.O.O.,ELAN USA CORPORATION,"10,224",6982.25,6682.25,300,6915.65,6982.25,66.6
2211072-01,2019-12-13,Dec,2019,11/11/2019,20,25,OI,P.A.T. PRODUCTS INC,HERMON,COIM SPA,P.A.T. PRODUCTS INC,"10,564",2670,2330,340,,2670,2670
2211073-01,2019-12-01,Dec,2019,11/11/2019,20,25,OI,P.A.T. PRODUCTS INC,HERMON,COIM SPA,P.A.T. PRODUCTS INC,"41,326",7180,6460,720,,6800,7180
2211074-01,2019-12-20,Dec,2019,11/11/2019,20,25,OI,JOHNSON OUTDOORS WATERCRAFT INC,OLD TOWN,"IUVO INDUSTRY CO., LTD",JOHNSON OUTDOORS WATERCRAFT INC,"2,839",3575.35,3214.4,360.95,1074.44,3575.35,2500.91
2211075-01,2019-12-08,Dec,2019,11/11/2019,20,25,OI,BASKETVILLE INC,PUTNEY,JUNAN YUANTAI HOUSEHOLD ARTICLES CO,BASKETVILLE INC,"13,000",7149,6004,1145,9034.54,7149,-1885.54
2211076-01,2019-12-14,Dec,2019,11/11/2019,20,25,OI,"PHOENIX FOOTWEAR GROUP, INC.",CARLSBAD,LEADTOP FOOTWEAR COMPANY LIMITED,"PHOENIX FOOTWEAR GROUP, INC.","6,646",6380.1,6021.1,359,37306.7,6380.1,-30926.6
2211076-02,2019-12-14,Dec,2019,11/11/2019,20,25,OI,"PHOENIX FOOTWEAR GROUP, INC.",CARLSBAD,RUI XIN SHOES FACTORY,"PHOENIX FOOTWEAR GROUP, INC.","6,646",,,,37306.7,,-37306.7
2211077-01,2019-12-14,Dec,2019,11/11/2019,20,25,OI,"PHOENIX FOOTWEAR GROUP, INC.",CARLSBAD,HOU RONG SHOES,"PHOENIX FOOTWEAR GROUP, INC.","7,501",6464.1,6105.1,359,31826.28,6464.1,-25362.18
2211077-02,2019-12-14,Dec,2019,11/11/2019,20,25,OI,"PHOENIX FOOTWEAR GROUP, INC.",CARLSBAD,DONG CHAO SHOE INC.,"PHOENIX FOOTWEAR GROUP, INC.","7,501",,,,31826.28,,-31826.28
2211078-01,2019-12-12,Dec,2019,11/12/2019,20,25,OI,HUSSEY SEATING COMPANY,NORTH BERWICK,THE FEDERATED INDUSTRIES (NINGBO),HUSSEY SEATING COMPANY,"1,294",3152,2872,280,1386.25,3152,1765.75
2211079-01,2019-11-29,Nov,2019,11/12/2019,20,25,OI,ENEFCO USA INC,AUBURN,LEDERETT GMBH,ENEFCO USA INC,"16,450",,,,,,
2211080-01,2019-12-28,Dec,2019,11/13/2019,20,25,OI,HUSSEY SEATING COMPANY,NORTH BERWICK,THE FEDERATED INDUSTRIES (NINGBO),HUSSEY SEATING COMPANY,622,716.37,537.27,179.1,981,716.37,-264.63
2211081-01,2019-12-06,Dec,2019,11/14/2019,20,25,OI,HUSSEY SEATING COMPANY,NORTH BERWICK,THE FEDERATED INDUSTRIES (NINGBO),HUSSEY SEATING COMPANY,"6,339",4175,3895,280,5706.75,4175,-1531.75
2211082-01,2020-01-02,Jan,2020,11/14/2019,20,25,OI,"PARICON, LLC",SOUTH PARIS,RIGHTFAIR GROUP LTD,"PARICON, LLC","2,521",3476,3309.57,166.43,3163.42,3476,312.58
2211083-01,2019-12-06,Dec,2019,11/14/2019,20,25,OI,"PHOENIX FOOTWEAR GROUP, INC.",CARLSBAD,ECRIN AYAKKABI VE DERI SAN. TIC.,"PHOENIX FOOTWEAR GROUP, INC.","1,010",2409.73,2165.6,244.13,2363.3,2409.73,46.43
2211084-01,2019-12-03,Dec,2019,11/14/2019,20,25,OI,P.A.T. PRODUCTS INC,HERMON,WILLY BENECKE GMBH,P.A.T. PRODUCTS INC,"16,650",2555,2182,373,,2555,2555
2211085-01,2019-12-03,Dec,2019,11/14/2019,20,25,OI,P.A.T. PRODUCTS INC,HERMON,WILLY BENECKE GMBH,P.A.T. PRODUCTS INC,"16,690",2565,2275.25,289.75,,2565,2565
2211086-01,2019-12-20,Dec,2019,11/14/2019,20,25,OI,WALLINGFORDS INC.,NEW HAMPTON,RUDONG CHAIN WORKS,WALLINGFORDS INC.,"17,190",2450,2013.5,436.5,5494,2450,-3044
