,FILE NO,DIVISION,METHOD OF TRANSPORT,BUSINESS LINE,SALESMAN CODE,SALESMAN NAME,REPORT DATE,CUSTOMER NAME,PORT OF LOAD NAME,PORT OF DCHG NAME,REVENUE,EXPENSE,PROFIT,TOTAL REVENUE LESS DUTIES,TOTAL BILLED TO ACCOUNT,TOTAL DUTY BILLED,GROSS WEIGHT,TOT CBM,CONTAINER COUNT,CONTAINER TYPE,TOT KGS
107336,1231926-01,10,OI,25.0,36.0,VALERIE KOEN,2020-09-13,WELLPET LLC,LAEM CHABANG,COLUMBUS,5223.4,4814.65,408.75,4975.0,5223.4,248.4,19536.0,55.0,1.0,40HQ,19536.0
107337,1231927-01,10,OI,25.0,36.0,VALERIE KOEN,2020-09-13,WELLPET LLC,LAEM CHABANG,COLUMBUS,5099.57,4761.72,337.85,4840.0,5099.57,259.57,15384.0,55.0,1.0,40HQ,15384.0
107402,1231950-01,10,OI,25.0,36.0,VALERIE KOEN,2020-09-03,WELLPET LLC,LAEM CHABANG,OAKLAND,5588.76,5094.29,494.47,5320.0,5588.76,268.76,14481.0,55.0,1.0,40HQ,14481.0
107924,1232429-01,10,OI,25.0,36.0,VALERIE KOEN,2020-11-22,WELLPET LLC,LAEM CHABANG,COLUMBUS,8245.36,7888.99,356.37,7982.0,8245.36,263.36,19451.0,55.0,1.0,40HQ,19451.4
107935,1231991-01,10,OI,25.0,36.0,VALERIE KOEN,2020-09-18,WELLPET LLC,LAEM CHABANG,COLUMBUS,5282.39,4899.47,382.92,4975.0,5282.39,307.39,18669.0,55.0,1.0,40HQ,18669.12
107936,1231992-01,10,OI,25.0,36.0,VALERIE KOEN,2020-09-18,WELLPET LLC,LAEM CHABANG,COLUMBUS,5410.06,5001.31,408.75,5125.0,5410.06,285.06,20644.0,55.0,1.0,40HQ,20644.0
107937,1231993-01,10,OI,25.0,36.0,VALERIE KOEN,2020-09-18,WELLPET LLC,LAEM CHABANG,COLUMBUS,5316.01,4937.26,378.75,5035.0,5316.01,281.01,20244.0,0.0,1.0,40HQ,20243.98
107938,1231994-01,10,OI,25.0,36.0,VALERIE KOEN,2020-09-18,WELLPET LLC,LAEM CHABANG,COLUMBUS,5219.04,4840.29,378.75,4885.0,5219.04,334.04,18981.0,55.0,1.0,40HQ,18981.36
107946,1232430-01,10,OI,25.0,36.0,VALERIE KOEN,2020-11-25,WELLPET LLC,LAEM CHABANG,COLUMBUS,8194.17,8080.42,113.75,7892.0,8194.17,302.17,18495.0,55.0,1.0,40HQ,18495.06
107949,1232431-01,10,OI,25.0,36.0,VALERIE KOEN,2020-11-25,WELLPET LLC,LAEM CHABANG,COLUMBUS,8462.45,8063.7,398.75,8177.0,8462.45,285.45,20816.0,55.0,1.0,40HQ,20816.4
