,FILE NO,DIVISION,METHOD OF TRANSPORT,BUSINESS LINE,SALESMAN CODE,SALESMAN NAME,REPORT DATE,CUSTOMER CODE,CUSTOMER NAME,PORT OF LOAD NAME,PORT OF DCHG NAME,REVENUE,EXPENSE,PROFIT,TOTAL REVENUE LESS DUTIES,TOTAL BILLED TO ACCOUNT,TOTAL DUTY BILLED,GROSS WEIGHT,TOT CBM,CONTAINER COUNT,CONTAINER TYPE,TOT KGS
140,633006397-01,60,AE,35.0,22.0,MOLIVEIRA,2020-02-11,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,3337.09,2498.46,838.63,3337.09,3337.09,0.0,56.0,1.07,0.0,,56.0
141,130031912-01,10,AE,35.0,22.0,MOLIVEIRA,2020-05-28,AKOBIO02,"AKOYA BIOSCIENCES, INC",BOSTON-LOGAN INTL AIRPORT,AMSTERDAM,1676.3,1289.07,387.23,1676.3,1676.3,0.0,97.0,1.527,0.0,,97.0
142,130031957-01,10,AE,35.0,22.0,MOLIVEIRA,2020-06-14,AKOBIO02,"AKOYA BIOSCIENCES, INC",BOSTON-LOGAN INTL AIRPORT,AMSTERDAM,3075.8,2695.65,380.15,3075.8,3075.8,0.0,86.0,0.959,0.0,,86.0
143,130031972-01,10,AE,35.0,22.0,MOLIVEIRA,2020-06-15,AKOBIO02,"AKOYA BIOSCIENCES, INC",BOSTON-LOGAN INTL AIRPORT,AMSTERDAM,2993.21,2528.47,464.74,2993.21,2993.21,0.0,223.0,2.109,0.0,,223.0
144,633006400-01,60,AE,35.0,22.0,MOLIVEIRA,2020-02-22,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,5928.1,4753.23,1174.87,5928.1,5928.1,0.0,163.0,1.947,0.0,,163.0
145,633006398-01,60,AE,35.0,22.0,MOLIVEIRA,2020-02-15,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,8319.48,6912.37,1407.11,8319.48,8319.48,0.0,185.0,2.323,0.0,,185.0
146,130032073-01,10,AE,35.0,22.0,MOLIVEIRA,2020-07-13,AKOBIO02,"AKOYA BIOSCIENCES, INC",BOSTON-LOGAN INTL AIRPORT,AMSTERDAM,2712.07,2230.04,482.03,2712.07,2712.07,0.0,217.0,3.132,0.0,,217.0
147,633008845-01,60,AE,35.0,22.0,MOLIVEIRA,2020-12-02,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,7872.49,6427.35,1445.14,7872.49,7872.49,0.0,249.0,2.284,0.0,,249.0
148,633008927-01,60,AE,35.0,22.0,MOLIVEIRA,2020-12-05,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,6346.96,5198.98,1147.98,6346.96,6346.96,0.0,130.0,1.699,0.0,,130.0
149,633008928-01,60,AE,35.0,22.0,MOLIVEIRA,2020-12-09,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4110.68,3337.09,773.59,4110.68,4110.68,0.0,78.0,0.972,0.0,,78.0
