Month	Aggregate	0	10	20	40	50	60	77	80
discrete	discrete	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
									
Apr	Count	4.0	627.0	153.0	160.0	33.0	209.0	43.0	4.0
Apr	Sum	195.0	2505890.3099999996	799618.51	493675.47	69006.8	448614.64	167969.06999999998	9742.91
Apr	Mean	195.0	4169.534625623959	5295.486821192053	3085.4716875	2226.025806451613	2146.4815311004786	4096.806585365853	2435.7275
Apr	Var	0.0	50034089.08615731	55017007.948934264	6192339.567557777	13751059.445204997	9111372.095417751	35593491.08541274	3209279.88186875
Dec	Count	0.0	1069.0	343.0	1198.0	33.0	302.0	20.0	85.0
Dec	Sum	0.0	3613453.02	1018270.0700000001	2425512.3	48481.68	448520.91000000003	45543.829999999994	129566.24
Dec	Mean		3563.5631360946745	3212.208422712934	2031.417336683417	1616.056	1485.1685761589406	2530.2127777777773	1524.308705882353
Dec	Var		39536553.04259786	21356143.504772276	2228952.464881349	740301.8339106666	3766337.6851810855	5548346.510331173	2669939.920957149
Feb	Count	1.0	761.0	186.0	682.0	28.0	359.0	21.0	80.0
Feb	Sum	0.0	2734390.2600000002	962259.7899999999	972791.3300000001	49255.69	625034.77	91351.84	150307.86
Feb	Mean		3626.512281167109	5258.250218579235	1426.3802492668624	1824.2848148148148	1741.0439275766016	5373.637647058823	1878.8482499999998
Feb	Var		59405597.88700806	40592821.058630556	842012.7801912869	2117182.3859138545	5207222.566756997	29611627.12842976	3731945.8253394365
Jan	Count	0.0	819.0	243.0	825.0	24.0	327.0	20.0	63.0
Jan	Sum	0.0	3554745.8099999996	889613.2	1355669.9300000002	33655.509999999995	488660.89	49284.15	107618.18000000002
Jan	Mean		4426.831643835616	3769.5474576271185	1647.2295625759418	1463.2830434782607	1512.882012383901	2593.9026315789474	1708.2250793650796
Jan	Var		72842282.99575421	40584247.23246558	1232265.4349973786	2483734.5220472594	3562475.7938501295	11293901.076777289	5277664.953450389
Mar	Count	1.0	726.0	188.0	344.0	43.0	316.0	28.0	59.0
Mar	Sum	0.0	2373282.99	808750.1699999999	495406.93	113113.28000000001	611210.06	149027.4	84490.88
Mar	Mean		3333.2626264044948	4371.62254054054	1444.3350728862974	2693.1733333333336	1934.2090506329116	5322.407142857142	1456.7393103448276
Mar	Var		27081795.72250588	60368767.869324885	1478198.7337981723	9919847.875260318	9512322.473335808	35755122.28134897	2009318.9621202145
May	Count	5.0	680.0	176.0	178.0	28.0	238.0	34.0	8.0
May	Sum	827.0	2975868.8899999997	1035269.67	486520.76999999996	59996.18	515457.8	604763.5399999999	16581.440000000002
May	Mean	827.0	4620.914425465838	6390.553518518519	2733.2627528089884	2856.960952380952	2174.9274261603373	19508.50129032258	2072.6800000000003
May	Var	0.0	64465725.93798555	72120059.78254627	4683472.2439390505	30902057.319694333	9428354.012643585	782941651.7698889	1893644.3155500002
Nov	Count	1.0	1215.0	342.0	877.0	38.0	357.0	33.0	86.0
Nov	Sum	0.0	3715829.1799999997	830581.4	1481809.1	68887.76000000001	534062.76	109316.13	163305.83000000002
Nov	Mean		3242.4338394415354	2587.4809968847353	1693.4961142857144	1861.8313513513517	1500.1762921348316	3643.871	1898.9050000000002
Nov	Var		40645431.70231493	13773698.426749164	1413126.980271987	3894897.282449525	5271316.228296365	33989167.30326901	3463814.76204593
